rh_precentral_rh_pericalcarine
lh_cuneus_rh_pericalcarine
lh_lingual_rh_pericalcarine
lh_pericalcarine_rh_pericalcarine
lh_fusiform_lh_entorhinal
lh_parahippocampal_lh_entorhinal
lh_temporalpole_lh_entorhinal
Left_Hippocampus_lh_entorhinal
Left_Amygdala_lh_entorhinal
Left_Thalamus_Proper_lh_parahippocampal
Left_Hippocampus_lh_parahippocampal
Left_VentralDC_lh_parahippocampal
lh_rostralmiddlefrontal_lh_rostralanteriorcingulate
lh_superiorfrontal_lh_rostralanteriorcingulate
Right_Accumbens_area_lh_rostralanteriorcingulate
Left_Caudate_lh_rostralanteriorcingulate
Left_Accumbens_area_lh_rostralanteriorcingulate
rh_superiorparietal_rh_middletemporal
rh_superiortemporal_rh_middletemporal
Right_Hippocampus_rh_middletemporal
rh_insula_rh_transversetemporal
Right_Hippocampus_rh_transversetemporal
rh_posteriorcingulate_rh_postcentral
rh_precentral_rh_postcentral
rh_rostralmiddlefrontal_rh_postcentral
rh_superiorparietal_rh_postcentral
rh_superiortemporal_rh_postcentral
rh_supramarginal_rh_postcentral
rh_transversetemporal_rh_postcentral
lh_paracentral_rh_postcentral
Right_Thalamus_Proper_rh_postcentral
Right_VentralDC_rh_postcentral
rh_insula_rh_frontalpole
lh_lateraloccipital_lh_isthmuscingulate
lh_lingual_lh_isthmuscingulate
lh_precuneus_lh_isthmuscingulate
lh_supramarginal_lh_isthmuscingulate
lh_insula_lh_isthmuscingulate
Left_Thalamus_Proper_lh_isthmuscingulate
Left_VentralDC_lh_isthmuscingulate
lh_lateralorbitofrontal_lh_caudalanteriorcingulate
lh_postcentral_lh_caudalanteriorcingulate
lh_posteriorcingulate_lh_caudalanteriorcingulate
lh_rostralanteriorcingulate_lh_caudalanteriorcingulate
lh_rostralmiddlefrontal_lh_caudalanteriorcingulate
lh_superiorfrontal_lh_caudalanteriorcingulate
lh_superiortemporal_lh_caudalanteriorcingulate
lh_insula_lh_caudalanteriorcingulate
lh_medialorbitofrontal_lh_lateralorbitofrontal
lh_parsopercularis_lh_lateralorbitofrontal
lh_parsorbitalis_lh_lateralorbitofrontal
lh_parstriangularis_lh_lateralorbitofrontal
lh_rostralanteriorcingulate_lh_lateralorbitofrontal
lh_rostralmiddlefrontal_lh_lateralorbitofrontal
lh_superiorfrontal_lh_lateralorbitofrontal
lh_superiortemporal_lh_lateralorbitofrontal
lh_temporalpole_lh_lateralorbitofrontal
lh_insula_lh_lateralorbitofrontal
Left_Caudate_lh_lateralorbitofrontal
Left_Accumbens_area_lh_lateralorbitofrontal
rh_inferiorparietal_rh_cuneus
rh_isthmuscingulate_rh_cuneus
rh_lateraloccipital_rh_cuneus
rh_lingual_rh_cuneus
rh_pericalcarine_rh_cuneus
rh_precuneus_rh_cuneus
rh_superiorparietal_rh_cuneus
lh_cuneus_rh_cuneus
lh_pericalcarine_rh_cuneus
Right_Cerebellum_Cortex_rh_cuneus
rh_transversetemporal_rh_supramarginal
rh_insula_rh_supramarginal
lh_isthmuscingulate_rh_supramarginal
Right_VentralDC_rh_supramarginal
lh_insula_lh_transversetemporal
Left_Putamen_lh_transversetemporal
Left_Caudate_Left_Thalamus_Proper
Left_Pallidum_Left_Thalamus_Proper
Left_Hippocampus_Left_Thalamus_Proper
Left_VentralDC_Left_Thalamus_Proper
Right_Pallidum_Right_Putamen
Right_Hippocampus_Right_Putamen
Right_Amygdala_Right_Putamen
Left_VentralDC_Right_Putamen
lh_supramarginal_lh_superiortemporal
lh_temporalpole_lh_superiortemporal
lh_transversetemporal_lh_superiortemporal
lh_insula_lh_superiortemporal
Left_Putamen_lh_superiortemporal
lh_fusiform_lh_bankssts
lh_inferiorparietal_lh_bankssts
lh_inferiortemporal_lh_bankssts
lh_middletemporal_lh_bankssts
lh_parahippocampal_lh_bankssts
lh_precuneus_lh_bankssts
lh_superiortemporal_lh_bankssts
lh_temporalpole_lh_bankssts
lh_transversetemporal_lh_bankssts
lh_insula_lh_bankssts
rh_parsorbitalis_rh_parsopercularis
rh_parstriangularis_rh_parsopercularis
rh_postcentral_rh_parsopercularis
rh_precentral_rh_parsopercularis
rh_superiorfrontal_rh_parsopercularis
rh_insula_rh_parsopercularis
lh_rostralanteriorcingulate_rh_parsopercularis
Right_Amygdala_Right_Hippocampus
Right_VentralDC_Right_Hippocampus
lh_isthmuscingulate_rh_insula
Right_Putamen_rh_insula
Right_Hippocampus_rh_insula
Right_Amygdala_rh_insula
rh_superiorparietal_rh_precuneus
lh_isthmuscingulate_rh_precuneus
lh_posteriorcingulate_rh_precuneus
lh_precuneus_rh_precuneus
lh_superiorparietal_rh_precuneus
Right_Thalamus_Proper_rh_precuneus
Right_VentralDC_rh_precuneus
lh_inferiorparietal_lh_caudalmiddlefrontal
lh_isthmuscingulate_lh_caudalmiddlefrontal
lh_medialorbitofrontal_lh_caudalmiddlefrontal
lh_parsopercularis_lh_caudalmiddlefrontal
lh_parstriangularis_lh_caudalmiddlefrontal
lh_precentral_lh_caudalmiddlefrontal
lh_precuneus_lh_caudalmiddlefrontal
lh_rostralmiddlefrontal_lh_caudalmiddlefrontal
lh_superiorfrontal_lh_caudalmiddlefrontal
lh_superiortemporal_lh_caudalmiddlefrontal
lh_supramarginal_lh_caudalmiddlefrontal
Left_Thalamus_Proper_lh_caudalmiddlefrontal
Left_Caudate_lh_caudalmiddlefrontal
Right_VentralDC_Right_Amygdala
lh_precentral_lh_parstriangularis
lh_rostralmiddlefrontal_lh_parstriangularis
lh_superiorfrontal_lh_parstriangularis
lh_insula_lh_parstriangularis
rh_inferiortemporal_rh_fusiform
rh_isthmuscingulate_rh_fusiform
rh_lateraloccipital_rh_fusiform
rh_lingual_rh_fusiform
rh_parahippocampal_rh_fusiform
rh_superiorparietal_rh_fusiform
Right_Cerebellum_Cortex_rh_fusiform
Right_Hippocampus_rh_fusiform
lh_postcentral_lh_paracentral
lh_posteriorcingulate_lh_paracentral
lh_precentral_lh_paracentral
lh_superiorparietal_lh_paracentral
Left_Putamen_lh_paracentral
Left_Pallidum_Left_Putamen
Left_Hippocampus_Left_Putamen
Left_Amygdala_Left_Putamen
Right_Caudate_Right_Thalamus_Proper
Right_Pallidum_Right_Thalamus_Proper
Right_Hippocampus_Right_Thalamus_Proper
Right_VentralDC_Right_Thalamus_Proper
Left_Thalamus_Proper_Right_Thalamus_Proper
Left_Pallidum_Right_Thalamus_Proper
lh_middletemporal_lh_inferiortemporal
lh_supramarginal_lh_inferiortemporal
lh_temporalpole_lh_inferiortemporal
Left_Amygdala_Left_Hippocampus
Left_VentralDC_Left_Hippocampus
lh_inferiorparietal_lh_fusiform
lh_inferiortemporal_lh_fusiform
lh_lateraloccipital_lh_fusiform
lh_lingual_lh_fusiform
lh_parahippocampal_lh_fusiform
lh_supramarginal_lh_fusiform
Left_Cerebellum_Cortex_lh_fusiform
Left_Caudate_lh_fusiform
Left_Hippocampus_lh_fusiform
Left_Putamen_lh_insula
Right_Hippocampus_Right_Pallidum
